question,chunk_id
"Qual è l'utilizzo del manuale d'uso dell'applicativo (template GIS) per la raccolta dei dati destinati alla pubblicazione nella sezione ""dati raccolti con standard GNA"" del Geoportale?",1dc36c50b990b12bc292e253017ad351125a2767d4f12ce04af89e75f5e06618
In quali attività di raccolta e inserimento di dati è utilizzabile il template GIS?,1dc36c50b990b12bc292e253017ad351125a2767d4f12ce04af89e75f5e06618
"Dove si può trovare il manuale d'uso dell'applicativo (template GIS) per la raccolta dei dati destinati alla pubblicazione nella sezione ""dati raccolti con standard GNA"" del Geoportale?",1dc36c50b990b12bc292e253017ad351125a2767d4f12ce04af89e75f5e06618
"Quali informazioni dettagliate si possono trovare nel manuale riguardo alla struttura, alle caratteristiche e alle modalità di compilazione dei singoli campi della banca dati GNA?",0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1
In quali tabelle sono raccolte le informazioni dettagliate relative alla banca dati GNA?,0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1
"È possibile accedere al manuale direttamente dall'interno del template durante il lavoro di inserimento dei dati? Se sì, come si viene reindirizzati ai singoli paragrafi?",0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1
Che progetto siamo parlando?,2cdd4f2f7c69fc4fa9b7663de4b954716061e97c62925e8b90bbe43fedd9cda1
Quale è lo scopo del progetto?,2cdd4f2f7c69fc4fa9b7663de4b954716061e97c62925e8b90bbe43fedd9cda1
Il progetto ha lo scopo di ottimizzare quali strumenti?,2cdd4f2f7c69fc4fa9b7663de4b954716061e97c62925e8b90bbe43fedd9cda1
Progetto GNA: Quali sono le specifiche caratteristiche della procedura di verifica preventiva dell’interesse archeologico come definite con DPCM 14 febbraio 2022?,016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2
Progetto GNA: Il manuale del progetto fornisce indicazioni relative a quale specifica procedura di verifica preventiva dell’interesse archeologico?,016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2
