question,chunk_id
Qual è l'ordine dei vocabolari nella struttura del progetto?,e76bd91bd01c4d4fefde99d7b3964f5ba8f1d49788965f0bb56a4150810562b3
Come vengono registrati i vocabolari nella struttura del progetto?,e76bd91bd01c4d4fefde99d7b3964f5ba8f1d49788965f0bb56a4150810562b3
Qual è l'etichetta associata ai vocabolari nella struttura del progetto?,e76bd91bd01c4d4fefde99d7b3964f5ba8f1d49788965f0bb56a4150810562b3
Qual è il metodo di rilievo che prevede un sopralluogo sul campo?,26c39232a29d8e81d70966122becd6d6c295a6e8b7da51467d673c6ca6eef564
Qual è il metodo di rilievo che utilizza solo la cartografia senza un sopralluogo?,26c39232a29d8e81d70966122becd6d6c295a6e8b7da51467d673c6ca6eef564
Qual è il metodo di rilievo che utilizza i dati provenienti da un satellite?,26c39232a29d8e81d70966122becd6d6c295a6e8b7da51467d673c6ca6eef564
Qual è la parola ripetuta due volte nel testo?,dac2d61bf5a05091feb0608ab17e49a0836a369e9a74a50bae53d45efe1b8730
"Qual è l'unica parola nel testo che contiene la lettera ""d""?",dac2d61bf5a05091feb0608ab17e49a0836a369e9a74a50bae53d45efe1b8730
"Qual è la parola che precede ""indietro"" nel testo?",dac2d61bf5a05091feb0608ab17e49a0836a369e9a74a50bae53d45efe1b8730
In che modo sono registrati i vocabolari nella struttura del progetto?,ec29619350f0a809b50eaf12d37be111f63ee21f19d5773792939ab869ba79d3
Qual è l'elemento associato al valore nel contesto del testo?,ec29619350f0a809b50eaf12d37be111f63ee21f19d5773792939ab869ba79d3
Come sono ordinati i vocabolari nella struttura del progetto?,ec29619350f0a809b50eaf12d37be111f63ee21f19d5773792939ab869ba79d3
Qual è il tipo di immagine utilizzato per la mappatura dell'anomalia?,f6b4dd07d87c6cbdfbd4a087fba7c11934e98e5282205cbc59efbfdab4f1d2bd
In che contesto si trova l'oggetto descritto nella scheda MOSI?,f6b4dd07d87c6cbdfbd4a087fba7c11934e98e5282205cbc59efbfdab4f1d2bd
Qual è lo stato attuale della scheda?,f6b4dd07d87c6cbdfbd4a087fba7c11934e98e5282205cbc59efbfdab4f1d2bd
Qual è la finalità del progetto Geoportale Nazionale dell'Archeologia?,1dc36c50b990b12bc292e253017ad351125a2767d4f12ce04af89e75f5e06618
Quali sono le avvertenze importanti da considerare nel progetto?,1dc36c50b990b12bc292e253017ad351125a2767d4f12ce04af89e75f5e06618
Quali sono i sistemi di riferimento utilizzati nel progetto?,1dc36c50b990b12bc292e253017ad351125a2767d4f12ce04af89e75f5e06618
Qual è lo scopo del template GIS descritto nel testo?,0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1
In quale sezione del Geoportale sono destinati i dati raccolti utilizzando questo template?,0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1
Quali tipi di indagini possono essere utilizzati con questo template per la raccolta dei dati?,0ae72ed83dec65ecc5cb259913f53d288e5e2aaf103935863e6cfa210172e7c1
Qual è lo scopo principale del template descritto nel testo?,2cdd4f2f7c69fc4fa9b7663de4b954716061e97c62925e8b90bbe43fedd9cda1
In che modo il manuale può essere consultato durante l'inserimento dei dati?,2cdd4f2f7c69fc4fa9b7663de4b954716061e97c62925e8b90bbe43fedd9cda1
Quali informazioni sono presenti nel manuale relative alla banca dati GNA?,2cdd4f2f7c69fc4fa9b7663de4b954716061e97c62925e8b90bbe43fedd9cda1
Come posso accedere al manuale direttamente dal template?,016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2
Quali sono gli indirizzi a cui posso scrivere per segnalare malfunzionamenti?,016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2
Quale sezione del portale GNA contiene le informazioni sui contatti per formulare proposte migliorative?,016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2
Quali sono gli indirizzi a cui si può scrivere per segnalare malfunzionamenti del sito ICA e del portale GNA?,e3b26a23b96ed88c95f10015e4a11ca84f9d8d2a7bc343ef452f3f2b127930e9
Dove si possono trovare informazioni dettagliate sulla struttura e le modalità di compilazione dei campi della banca dati GNA?,e3b26a23b96ed88c95f10015e4a11ca84f9d8d2a7bc343ef452f3f2b127930e9
Quali sono le sezioni del manuale che forniscono indicazioni generiche sul tipo di scelte progettuali effettuate e sulla modalità di svolgimento di specifiche operazioni tecniche?,e3b26a23b96ed88c95f10015e4a11ca84f9d8d2a7bc343ef452f3f2b127930e9
Quali sono le informazioni che è possibile trovare all'interno del manuale?,773fe1d7a7ce80466f3d12a305378d2bbfc2afcfefd69852cc2f5e2dde88683d
Come è possibile accedere al manuale durante l'inserimento dei dati?,773fe1d7a7ce80466f3d12a305378d2bbfc2afcfefd69852cc2f5e2dde88683d
Quali sono le indicazioni presenti nel manuale relative alle scelte progettuali effettuate?,773fe1d7a7ce80466f3d12a305378d2bbfc2afcfefd69852cc2f5e2dde88683d
Come posso accedere al manuale direttamente dal template?,1a2e1417f01e290b71b260e70cbd2cf04ab45d692c99f718f462e7eef1374a42
Quali sono gli indirizzi a cui posso scrivere per segnalare malfunzionamenti o formulare proposte migliorative?,1a2e1417f01e290b71b260e70cbd2cf04ab45d692c99f718f462e7eef1374a42
"Quali sono le specifiche caratteristiche della procedura di verifica preventiva dell'interesse archeologico, come descritta nel manuale?",1a2e1417f01e290b71b260e70cbd2cf04ab45d692c99f718f462e7eef1374a42
Qual è l'obiettivo del GNA?,dffc31beca5c0c116df07e1113f3a66b48b9031869525da0c0d4413390cd29ca
Quali sono le specifiche caratteristiche della procedura di verifica preventiva dell'interesse archeologico?,dffc31beca5c0c116df07e1113f3a66b48b9031869525da0c0d4413390cd29ca
Dove sono evidenziate le indicazioni relative alla procedura di verifica preventiva dell'interesse archeologico nel manuale?,dffc31beca5c0c116df07e1113f3a66b48b9031869525da0c0d4413390cd29ca
Qual è l'obiettivo del GNA?,ff46a86c7079dfd9c025d44e5d89bb2e38c3d51dc883bb54ed7799d0e93df394
"Quali dati sono raccolti nella sezione ""dati raccolti con standard GNA""?",ff46a86c7079dfd9c025d44e5d89bb2e38c3d51dc883bb54ed7799d0e93df394
Chi è il responsabile della messa in rete dei dati esito dell'attività di tutela del MiC?,ff46a86c7079dfd9c025d44e5d89bb2e38c3d51dc883bb54ed7799d0e93df394
Quali sono le informazioni minime che devono essere conferite al GNA per la sostenibilità del portale?,57e24ec1bec7bf55fc1c8b38a5f71f3b74a213470be0f25e0f62c13e3c365257
"Quali sono le attività di tutela del MiC che resterebbero inedite senza la sezione ""dati raccolti con standard GNA""?",57e24ec1bec7bf55fc1c8b38a5f71f3b74a213470be0f25e0f62c13e3c365257
In che modo il conferimento delle informazioni al GNA rende il portale uno strumento affidabile per finalità di studio e ricerca?,57e24ec1bec7bf55fc1c8b38a5f71f3b74a213470be0f25e0f62c13e3c365257
Qual è la chiave per la sostenibilità del portale in termini di completezza delle informazioni e di rapidità e costanza di aggiornamento?,4e2474ac3cb4c2409bd5686405d6470b4e6c52ec671ab7d3286d32ba99a50dc8
Quali sono le finalità del portale per cui è stato reso liberamente accessibile in modalità Open Access?,4e2474ac3cb4c2409bd5686405d6470b4e6c52ec671ab7d3286d32ba99a50dc8
Quali sono le condizioni della licenza Creative Commons BY 4.0 per il riutilizzo dei dati pubblicati sul portale?,4e2474ac3cb4c2409bd5686405d6470b4e6c52ec671ab7d3286d32ba99a50dc8
Quale licenza viene utilizzata per consentire il riutilizzo dei dati pubblicati sul portale?,e00497ceaab85cf4a8e3b81aed9a6a20d6b220f166b4dae591a2d77525441d42
Quali sono le informazioni minime che devono essere presenti in ogni scheda del portale?,e00497ceaab85cf4a8e3b81aed9a6a20d6b220f166b4dae591a2d77525441d42
Quali sono le modalità di accesso al portale?,e00497ceaab85cf4a8e3b81aed9a6a20d6b220f166b4dae591a2d77525441d42
Qual è lo scopo principale del plugin descritto nel testo?,8dabae43ca1f849e2d365bca2596415935b5c51455e3fe452c1e9f33149a65ee
Quali informazioni devono essere sempre presenti in ogni scheda creata con il plugin?,8dabae43ca1f849e2d365bca2596415935b5c51455e3fe452c1e9f33149a65ee
Quali sono le limitazioni attuali del progetto GNA riguardo alla digitalizzazione della documentazione originale cartacea?,8dabae43ca1f849e2d365bca2596415935b5c51455e3fe452c1e9f33149a65ee
Qual è l'obiettivo principale del progetto GNA?,2c528252d9c1d782b1496ce5c15dfbf1bd991c00d2103d3e2ed4ade69df5d2fe
Quali tipi di documentazione non sono inclusi nella digitalizzazione del progetto GNA?,2c528252d9c1d782b1496ce5c15dfbf1bd991c00d2103d3e2ed4ade69df5d2fe
Quali sono le possibilità di connessione con progetti di digitalizzazione esterni al progetto GNA?,2c528252d9c1d782b1496ce5c15dfbf1bd991c00d2103d3e2ed4ade69df5d2fe
Qual è la prima cosa da fare quando si utilizza un layer MOPR?,db8e042dadc101aa3e42152cbf3845cb858942d29d8c5b95862dd1b7f1d32757
Quali tipi di attività possono essere inserite in un layer MOPR multipoligonale?,db8e042dadc101aa3e42152cbf3845cb858942d29d8c5b95862dd1b7f1d32757
Qual è l'obiettivo principale dell'utilizzo di un layer MOPR?,db8e042dadc101aa3e42152cbf3845cb858942d29d8c5b95862dd1b7f1d32757
Che cosa rappresenta il MOPR in fase di redazione di un documento di valutazione?,2c316237ca3c79ba282799ee2de8ae688756f9786bc17bf13a91da4e0984841e
Quali tipi di layer sono preferibili per rappresentare le aree occupate dalle lavorazioni previste dalla bozza di progetto?,2c316237ca3c79ba282799ee2de8ae688756f9786bc17bf13a91da4e0984841e
"In caso di indisponibilità dei layer vettoriali, quali tipi di layer possono essere utilizzati?",2c316237ca3c79ba282799ee2de8ae688756f9786bc17bf13a91da4e0984841e
Qual è il numero di layer MOSI descritti nel testo?,5cc4c073ee528d3137ed164c06b571d9ea2ae31d170cafd0c9e37b5d3302adca
Qual è lo scopo del layer RCG\_multipolygon?,5cc4c073ee528d3137ed164c06b571d9ea2ae31d170cafd0c9e37b5d3302adca
Qual è la differenza tra il layer D\_RCG\_multipolygon e il layer RCG\_multipolygon?,5cc4c073ee528d3137ed164c06b571d9ea2ae31d170cafd0c9e37b5d3302adca
Qual è la caratteristica intrinseca dell'area che viene valutata nel concetto di potenziale archeologico?,67f8985cc86a825b5294a16c787e82334c454a051fd89689725cd6cdc42a220f
In che modo il progetto o il tipo di lavorazioni previste influenzano la valutazione del potenziale archeologico?,67f8985cc86a825b5294a16c787e82334c454a051fd89689725cd6cdc42a220f
Come possono variare i coefficienti di rischio archeologico in un'area con un determinato potenziale archeologico a seconda delle lavorazioni previste da uno specifico intervento?,67f8985cc86a825b5294a16c787e82334c454a051fd89689725cd6cdc42a220f
Quali sono i fattori che influenzano il coefficiente di rischio in un'area con potenziale archeologico?,4d1b3ec23dd37640e246f05a6e49672c9d66dbfdf8d59f93f7b2c0aab7b6ef40
In che modo le lavorazioni previste da uno specifico intervento possono influire sul rischio archeologico in un'area?,4d1b3ec23dd37640e246f05a6e49672c9d66dbfdf8d59f93f7b2c0aab7b6ef40
"Qual è il livello di rischio archeologico per un'area con emergenze archeologiche note conservate a una profondità di -2m., se il progetto prevede lavori in quote vicine alla loro giacitura?",4d1b3ec23dd37640e246f05a6e49672c9d66dbfdf8d59f93f7b2c0aab7b6ef40
