question,precision@k,recall@k,mrr,retrieval_time,input_tokens,retrieved_docs,relevant_docs
Come posso accedere al manuale del Geoportale Nazionale Archeologia direttamente dal template durante il lavoro di inserimento dei dati?,0.0,0.0,0.0,22.363959074020386,2,[],['016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2']
Come posso stampare un progetto in QGIS che visualizza anche layer WMS?,0.0,0.0,0.0,15.295178413391113,2,[],['c02291c8ed998db627ce69f2b61380c9c3ca02054570e77e2b1a5061fb571c59']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,18.083601713180542,2,"['1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', 'b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de']",['bdc44c358ef1c0cf4cda384c3043ae463db56db9c3710a2a525d2f2430ed3714']
Quali sono i campi della localizzazione nel progetto?,0.0,0.0,0.0,18.08581018447876,2,"['cde308c5b4d4ac577ee764fefb4e551c9acfa5d58b7c65104f0270c43380ef08', 'a942e47ed39a941564ce18db1177540cb437bb881712f3585d4fde1f42ead2d0', '72a3277b7330d3b0f5b0a3710546124f000d21d215bed0ec58cf50454509717b']",['770f7b9e294d11d912d0f5648de2be3fd29f09a84f60a84e87d65bd24bbfe419']
Qual è la versione dell'indice template del Geoportale Nazionale Archeologia?,0.0,0.0,0.0,21.87964177131653,2,[],['81c5c670364848611b519122a28d666a3d5f681158ced2dfe49d61ef49eecf30']
Qual è l'estensione dell'area che deve essere considerata nel compilare il MOPR?,0.0,0.0,0.0,18.085328340530396,2,"['980150731e928f6e851ae197239ad1f1861d1fad09547d9d8d135225e7e83741', '974f97663e7630684155ee949c6e748d8ec44968f5e12019926b057837c65dd6', 'db0da66abb0919cd3c8eb4af5b2bdc520e26e650c68f506c9335635edaee3dcf']",['1cb8c47199d27f2c13d8b16b743318aedecee12141c3b31e4954d5a31c2bb7b5']
Quali sono le voci del vocabolario GPBB?,0.2,1.0,1.0,18.08379578590393,2,"['6f00860f3514207cb3022132bf2558b71d59b0c41349eb0d5a66c5b7703563f6', '3bea4785f4226072a63aeca5ccff8fd8269d8ff0287fd1e912eaa2535fe1fc65', '2d7e2367ead8a42db7d5945cc3532b0dd9b8a93878b74ec10938b02abd682097']",['2d7e2367ead8a42db7d5945cc3532b0dd9b8a93878b74ec10938b02abd682097']
Come si compila il MOPR?,0.0,0.0,0.0,15.291165113449097,2,[],['754bbfed40f002057ae6c1308a67ad8ec245e359933671cbbe0432aedf69c181']
Come posso inviare i dati del mio progetto al Geoportale Nazionale Archeologia (GNA) per la verifica e la pubblicazione?,0.0,0.0,0.0,18.080675840377808,2,"['9e30f2a81c45db0d71beb061074ff7b8a1275b46c506be03d26bc6f7933a21e2', '347611b33d76adb1305b3f34e616e566afeffc5ab00e6ee3dc2559d93c938207', 'fcd62a96afde9ed05fc0afedaa3c40ab40097604b658475648ca00daa5427a09']",['898b8222924978aa974bcc306e3528b8820e307de51fd6759fa6ee49ce5d5211']
Quali sono le informazioni da inserire nel MOSI?,0.0,0.0,0.0,18.085328340530396,2,"['079e8ea711ecf29ad67d0ba78e2e324c44d594f769dd5c0b11475ff3e4e8d1dd', 'c5b3b0c05b26696e5128155633607aa1fe6086dd7a6f23a9c9438091999964fe', 'cac6172a087154b6a2ef2f602ba3033b797e4e76d0bca3429857b3873d03efd3']",['f71e6ca3ff5f69653edb6dacc5dc124cdbd1b4a7f845ec159302f2d504159d7e']
Qual è il Vocabolario AMA?,0.0,0.0,0.0,27.523841857910156,2,[],['80e503874f1313fe06c9a45e04d8f078fde73143da7aedf2b3caf247e9d4f206']
