question,precision@k,recall@k,mrr,ndcg@k,ap@k,retrieval_time,input_tokens,retrieved_docs,relevant_docs
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b']",['aaa73899349a502bc92122a0e052a917e6b1c9465de08ba8287610021d19d55b']
Come si aggiunge un raster da georiferire in QGIS?,0.2,1.0,1.0,1.0,1.0,0.3577737659215927,2,"['ce7b79c89b4720dcbf3c668476d1f58802cf308ff77f01820bd81058174ebf1e', 'e8ac9ba50cf4d546eb808b5c3a475bb224a75c23ef20d8f850d4846b387385e8', 'af2ef0b237ac1c66a852ea8d46b82b4b8595d3ae9d775e5b4ea3f10fe8f8c078', 'ee904f8a2c07d6726da507e11a4a490511db6a8a4fc0fe578c787893f893eb23', '0ee6450c1efaba2a57123eed1e3e7aa038f87e040b09bada6f07074854465d1d']",['ce7b79c89b4720dcbf3c668476d1f58802cf308ff77f01820bd81058174ebf1e']
Qual è lo scopo del template GIS descritto nel testo?,0.2,1.0,0.5,0.6309297535714573,1.0,0.3577737659215927,2,"['016b785120290d70635d1cd5946ec65c7fe1430fdb56b0e65bc7655ad04014c2', 'e3b26a23b96ed88c95f10015e4a11ca84f9d8d2a7bc343ef452f3f2b127930e9', '773fe1d7a7ce80466f3d12a305378d2bbfc2afcfefd69852cc2f5e2dde88683d', '2cdd4f2f7c69fc4fa9b7663de4b954716061e97c62925e8b90bbe43fedd9cda1', '88bc90289061bc6060aa0167bc177f4061a2d5882ea59277cbc241f19a399f14']",['e3b26a23b96ed88c95f10015e4a11ca84f9d8d2a7bc343ef452f3f2b127930e9']
Quali sono le voci del vocabolario GPBB?,0.2,1.0,1.0,1.0,1.0,0.3577737659215927,2,"['2d7e2367ead8a42db7d5945cc3532b0dd9b8a93878b74ec10938b02abd682097', '6f00860f3514207cb3022132bf2558b71d59b0c41349eb0d5a66c5b7703563f6', 'c23cf4e5dcaf6e72f5603ce22be43c7e8560766db26261bc6cec14315bbbf5fd', '3bea4785f4226072a63aeca5ccff8fd8269d8ff0287fd1e912eaa2535fe1fc65', 'd5ee79b27f96e24fe2a2b681c05314dd474ea39f35877d04cbe608f172099569']",['2d7e2367ead8a42db7d5945cc3532b0dd9b8a93878b74ec10938b02abd682097']
Come si stampa la carta del rischio (VRD) e si visualizzano le informazioni sul grado di rischio e sulle motivazioni?,0.2,1.0,1.0,1.0,1.0,0.3577737659215927,2,"['5276aca8570ca606f28ef6cb7d81d6465a5aad56389e96fc920551d191a7cf9c', 'aa9d703f7164f20e73498a9e928bdaefc41f27f98e6401feec0331e8f5246aa4', 'ac7ab8add28d46bcd3961d3ce4af32f14dcf6e5368ee5f1b4aece8aff06c9b7a', '1019df724f2a78c9231135e79bb0502e02dbaca5ecc3216544f65dc7d92f04dc', 'c5fa2db05abe3d0565b8372f38652b9653d3230b7ae88b310c3495ed52a361c3']",['5276aca8570ca606f28ef6cb7d81d6465a5aad56389e96fc920551d191a7cf9c']
Quali sono le informazioni generali del progetto di carta archeologica che sono state inserite nel MOPR?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['b1acfdf407952ea473d5febb21b87e2e4d73a0987b749ebcac938878f6bed896', '0724bf0018a7589c9e716876e0800909784fa45364c7b147b9378438e501301d', '09c6fc2bf7112a95b0cbacf45bfdf90e7b2bbd52ed916b2a66f24e1def3f1c30', '3ae504f98a39d0139ed9e37d400d88dcae71737c21afd1800d03c8ffcaf248d5', '4b667172297958de0a0e8629345d69ac35f244be0dfd791bb11150fa00d203ec']",['0283c3d47c8707a6b689db63d53f74c87092c65da9433ff2f9631b521995aa5f']
Quali sono i casi d'uso per un sito pluristratificato nel contesto del Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.0,0.0,0.3577737659215927,2,"['bde51ab31a320e1569a806b38d23c695e800ac5554af20e16c2cc82fe484718a', 'b4d95f5be000f541669c491d4412d01606d5b97bb3cecd83f9828bc09bf7f7b1', '9fc76dc92aadad25af50576dc0e0772b9ffddaaa19d00c7579409f89b0f83e55', 'cdc6f9c965cf0e7b0bd7bb462c54c9f58d87d2b3119c3ee1ab57f9d0fdd48e1e', '82e93529d5d248a8a38910e077ae0a8e1414a321c0a67788bfd7ed2ef4647aa0']",['704ef3eceab93e35907caa133208455820d408f90ea62a1b79bb5c8e9a92252c']
Chi ha contribuito alla creazione dell'indice template versione 1.4?,0.2,1.0,1.0,1.0,1.0,0.3577737659215927,2,"['81c5c670364848611b519122a28d666a3d5f681158ced2dfe49d61ef49eecf30', '1213510cce0fb55391aa5e9e3d11ed51a76505799cf1bb8de403e7480c476f1b', '04a7b69436e76dd3d1f2566dbb08fa4153ac144e30d4b6639f1b588d2305394c', '2f51fdc36390a5cd67a2115f1fd019498cdcadb229f0ec90be01a9edb0c7667e', '65a78ebbde174f1a327610d3c4c6bf747645def45d82c13b4c24af308757b5f4']",['81c5c670364848611b519122a28d666a3d5f681158ced2dfe49d61ef49eecf30']
Come si imposta il testalino per stampare particolari a scala molto grande nel Geoportale Nazionale Archeologia?,0.2,1.0,1.0,1.0,1.0,0.3577737659215927,2,"['a0b8e441754f20e7d448067385456f492c05f65ec68fe661fcc6f1700c940f7b', 'cf556c079b6e3d6da11032d40edc310abdcb6005eb2e047cb5633b274ee811ef', 'c321a5c41e27d11634f13ab01df894043bbc2378d6af6ce4e708540a86b2edd5', '34ce1612c829ea7091f981d8c69c281ac87319ecae1d9e19c398500f5254c93a', '4ddb9f5f099b1c589b40f1e27522279b960cf63c2e029703c59249ffe0c1eea3']",['a0b8e441754f20e7d448067385456f492c05f65ec68fe661fcc6f1700c940f7b']
Qual è il modo per inserire informazioni esterne all'area del MOPR nel sistema del GNA?,0.2,1.0,0.3333333333333333,0.5,1.0,0.3577737659215927,2,"['fa3f906ed0ce323b7a0e90513ce6530f7baee75ba6ce32011cf46d83ed5ee8b1', '9907c836f44202fd667bb8b8c849d276c95a1fa5bad2df5320704899d70f8006', 'a7c78d48139bf8d5645c8d7b7ab5a5aa6164c418d1049fc744349ec7e152b048', 'e21ccc0877e6d7a4b5539e56e5dfbd1acd7922a561305706bd073ec94ca89ba5', 'd49dc2df94454a9e48570ccd6f957263c397eb5d0ce544ad92952ac2135c9e68']",['a7c78d48139bf8d5645c8d7b7ab5a5aa6164c418d1049fc744349ec7e152b048']
