question,precision@k,recall@k,mrr,retrieval_time,input_tokens,retrieved_docs,relevant_docs
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.22515138238668442,2,"['b7b2f460cc285e8a68a608863cd814e5525afd3259ec705142c793623db3a3de', '195c7c332490450283fad5c4a2fd51de75a3caa5d924a8342ddc8ae3ac05647b', '022e4760e3074da7e2152df2b1c9c6708ee8413264b15c9696b2e182929c2b73', '1953e601c42a0f735404d2b29068be3a25e5af94a740f4f670627e216f720765', '1521289233fe45b5e061dbf52ca9e36131c7e3d0984656509438ae37e97b8604']",['b1e04f5604e7edae149365bc09644b4a1c9da78630760509b68f0963cf89cb4e']
Come si importano i MOSI presenti in GNA all'interno del Template del MOPR?,0.2,1.0,0.2,0.22515138238668442,2,"['c4574e0b8053e1064eba5054799b4371719afa182913784f3d825dcde2212b76', 'e29cb8689f472684d0c37a1225f67559797871712916cda6f058d2265ff17f2c', 'a2c32641ad9c943c1de114145c8d22137491a1d4efe2721f2a02856b2d7df6e7', '9907c836f44202fd667bb8b8c849d276c95a1fa5bad2df5320704899d70f8006', '26f67248fcb5f135935c93d9dd706d478d15909a2060c45a921206f7fa26ee0e']",['e29cb8689f472684d0c37a1225f67559797871712916cda6f058d2265ff17f2c']
"Quali sono le informazioni presenti nel manuale relative alla struttura, alle caratteristiche e alle modalità di compilazione dei singoli campi della banca dati GNA?",0.2,1.0,0.5,0.22515138238668442,2,"['57e24ec1bec7bf55fc1c8b38a5f71f3b74a213470be0f25e0f62c13e3c365257', 'ff46a86c7079dfd9c025d44e5d89bb2e38c3d51dc883bb54ed7799d0e93df394', '1a2e1417f01e290b71b260e70cbd2cf04ab45d692c99f718f462e7eef1374a42', '773fe1d7a7ce80466f3d12a305378d2bbfc2afcfefd69852cc2f5e2dde88683d', 'dffc31beca5c0c116df07e1113f3a66b48b9031869525da0c0d4413390cd29ca']",['1a2e1417f01e290b71b260e70cbd2cf04ab45d692c99f718f462e7eef1374a42']
Come stampare i MOSI (Catalogo dei siti) nel Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.22515138238668442,2,"['b67cb9386b2814b53207fef5cb69ba14a60f1522a88a8adebe6a36254c5e7c9a', '4f7c93bd66a0188abe7a180128e15b24204b025535d3e52f4a050973c8cc6bdd', '6bf9350a645455b87777fa698745cd746f07906535a58fca21157eeba53b17ef', 'bc7ce40aad15905c4aaaa383849d93fcd7d272ec51aa66bea4d7122d80bea8f3', '421aae735a5464218992e6bdcad53649aa8765827f8b2e31810f53c3fe22598f']",['81780ea0f26610f5854a8d81b307c0fe4065d5f5382fb1afe67e64fb8404d2ad']
Quali sono le procedure da seguire per segnalare problematiche nel progetto?,0.2,1.0,0.3333333333333333,0.22515138238668442,2,"['770f7b9e294d11d912d0f5648de2be3fd29f09a84f60a84e87d65bd24bbfe419', 'ff46a86c7079dfd9c025d44e5d89bb2e38c3d51dc883bb54ed7799d0e93df394', '4e2474ac3cb4c2409bd5686405d6470b4e6c52ec671ab7d3286d32ba99a50dc8', '10fae61a12f6620aa81d1f1cca7c373df19287045336a71f3d527e120a329c77', '4469b39376fbe3416838c75378e7b2e3230ca54219c7c3257776db1357fb9a65']",['770f7b9e294d11d912d0f5648de2be3fd29f09a84f60a84e87d65bd24bbfe419']
Come posso stampare il MOPR?,0.0,0.0,0.0,0.22515138238668442,2,"['8b6976db5f6d72ac5bd5e33e9def3b0b66192dddcade1009717ad6a3982f4e92', 'a173cac35ce5f899f622ed6103a0594b5f61f9f1d36caa602fd58bde4a01eba4', 'fc3e84b14aeba9ff20aa948a4e23ed472d8170a18988233097b42b7b8c0a41ef', '53cba180a7d031637fc0d729f113a5fed59d53291b3f0b179246b43327b3ed2f', '6a2b83d867111ae4963375d6ba5930e6fb4d6149c7aa2e585f37a3b936a08bb6']",['ab8ad079189ed61a9386990000abf7348078d459d9a243fc3fe9d7959fd52d66']
"Quali sono le casistiche presentate nella Tabella 2 della circolare DG-ABAP 22/12/2022, n. 53 per l'attribuzione dei valori del rischio in relazione ai parametri del progetto e del contesto oggetto dello studio?",0.2,1.0,0.5,0.22515138238668442,2,"['79e67a5397bafad5620bc8ce537f58ec10e58d52fe765e1ab7a0f8dfed6bd4d7', 'a59fa427a3046ee0638c958cdf1e765e563dbe4a786205b500510e55d245e969', 'de8de5defae6e6af7cc69fcad0f8f9917691b47296ab8f423057db1075e91cc3', '524e57f8ac5b59c74fa17aefb8163a6bffcf3c63b49b64ebf62d5d9615f8d6cb', '6ff48e8427943a9786dca524c5f8bf700755170894c196de217a3f6620b8462b']",['6ff48e8427943a9786dca524c5f8bf700755170894c196de217a3f6620b8462b']
"Da quando è previsto il conferimento al GNA dei dati minimi di tutte le indagini archeologiche autorizzate dalle Soprintendenze, Uffici periferici del MiC afferenti alla DG ABAP?",0.2,1.0,0.25,0.22515138238668442,2,"['d32465da33b96e8ea7673d807010bbd66ca374f717418b5031e27ea9ea3e983a', '2b4ca4d7f7b35370fdc237533d3d52f8823b29647b232acf495e2631f191680a', 'ea7231cdb35402d001b31323564f7133818550ceb928eb99a73e7cd27772911d', 'e1550abf64f1fee96aede287c542c7731989ff4513e16dea41845546cacfe584', '1c5752e89aa7a3e8cd8b09b550e2262abc34f30c64c19786aef29c85bb543d71']",['1c5752e89aa7a3e8cd8b09b550e2262abc34f30c64c19786aef29c85bb543d71']
Come stampare i MOSI (Catalogo dei siti) nel Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.22515138238668442,2,"['b67cb9386b2814b53207fef5cb69ba14a60f1522a88a8adebe6a36254c5e7c9a', '4f7c93bd66a0188abe7a180128e15b24204b025535d3e52f4a050973c8cc6bdd', '6bf9350a645455b87777fa698745cd746f07906535a58fca21157eeba53b17ef', 'bc7ce40aad15905c4aaaa383849d93fcd7d272ec51aa66bea4d7122d80bea8f3', '421aae735a5464218992e6bdcad53649aa8765827f8b2e31810f53c3fe22598f']",['f62237fcb9c1b897febd29b41b632a3d107cbd1a945fc187ecced2e07477cfbe']
Quali sono le caselle che è importante spuntare quando si importa un DWG/DXF in un GeoPackage con QGIS?,0.2,1.0,1.0,0.22515138238668442,2,"['9c4f9e19daec2819d5558df9bfa64f4bd7079d462ca9cdcb83a86a8858c0ecf1', 'f6dbe5dbfa501a3c29fdb164ee8ee204845f6c5b07c504bff455fab407794c2d', '01ef81d58533ec9e6f2cb0dc736e9be7ae930b74eea6632f72091bef96c0df80', 'c9fd320e76adcaa7984aea91f68f4c076539ae03753a4205df5d2cec18732085', '149c8e72bfd8c6cb8ad968ae2cd76f8607c5afbe64ec8200de32366255a0cd31']",['01ef81d58533ec9e6f2cb0dc736e9be7ae930b74eea6632f72091bef96c0df80']
