question,precision@k,recall@k,mrr,retrieval_time,input_tokens,retrieved_docs,relevant_docs
Quali dati vengono stampati nella pagina del Catalogo dei siti del Geoportale Nazionale Archeologia?,0.0,0.0,0.0,0.21704936027526855,2,"['1b35cea964befb70a78e4768165a7399adff58a8115a2fab259adf2f09f08019', '4d1b3ec23dd37640e246f05a6e49672c9d66dbfdf8d59f93f7b2c0aab7b6ef40', '41a3fba92340efdd25642fa2dc99456aef2c3a05cb031049951aa2fc498122e8', 'c7d97bd4b05add56bca22754563d10755a460deec73b487256b85d68d0b8fdbd', 'f6ffe421a10e78b6eb9a6092671043c3d523cfe6b2fc95be2090f9ebd849f8b5']",['d42059228f1e5b8db70e35709d3f6e453b780cd7092d418f7981f4b5bf0c2a41']
Quali sono i dati che possono essere rappresentati nel layer multilineare del progetto?,0.2,1.0,1.0,0.21704936027526855,2,"['66006395f3eb7acffa109b9e1ce9eb96f973ad0175e7c93ce3f897ba252be2b4', '6245248d2897c150efbdce71ab342ec577ea2ed0c8b16f8c9aed1a2d6580362e', '96be80a8f93ae40a310fdc78ae24d3393194727389544894fa8343b01d3c04f9', 'c13559524df8fba2cd533ee2cd68ceca4deb32b818e185801ffcd3f9f47bcb98', '379c3893010e469caa3286e181f31e5c073ada5c3053ff8c894694ae154e44a1']",['96be80a8f93ae40a310fdc78ae24d3393194727389544894fa8343b01d3c04f9']
"Qual è il significato di ""Vocabolario OGM"" nel contesto del Geoportale Nazionale Archeologia?",0.2,1.0,0.5,0.21704936027526855,2,"['81844b691c96db750d56337978871600b31bfba64c6a70b1fc55bfb7e3b9be57', '2efe233c5448d9359d2562614f11b046ed548af6dbf3e0062a146d5f26a8269a', 'a9f8a243fe44d2530686a08967c4442b17ee76a4bd657000f72458b2805230fc', 'b985b4f5d1c3ae07372d9d10a0b5b1eef0d2db0fd052fbb14ce6c0566390e145', '65852f0146171f857bc9fe0c1df96fd32ecab2392591a766ed39a3b905542486']",['a9f8a243fe44d2530686a08967c4442b17ee76a4bd657000f72458b2805230fc']
Qual è il comando per scalare in QGIS?,0.2,1.0,0.2,0.21704936027526855,2,"['8f099253a1de7ddbb2b6a2c999f3a368c549451dbb3112a771f130c85230fc88', '620b4892afde74e4394db8784b2ace57110e0a5fca2954886108907cd88af160', 'f1f56683b3ca808eaed4be58154e14dbc5b9b851e5af5d1c40f4eef179955c53', '568267eff1653293d4271a4e62b5e4b394b28bc3efd932ffb34429f020064f4a', 'dc1038436dd017506b8e6cd48560097f9495b846a88c8e44775fb1dc46af5cde']",['568267eff1653293d4271a4e62b5e4b394b28bc3efd932ffb34429f020064f4a']
Qual è la procedura da seguire per riutilizzare MOSI prodotti per un altro progetto?,0.2,1.0,1.0,0.21704936027526855,2,"['5ce5c7147db8261f00cef29b9973e5ac3fa56d09317fb3bb3f91f4043e429eeb', 'c5b3b0c05b26696e5128155633607aa1fe6086dd7a6f23a9c9438091999964fe', '01ae252038403048c1811776018a44a1f7b7b43f5ca0f007b8b8cc8d19136041', 'e8a439c8fb6721850d25f73e841c356b9d0a762145264bf84b8d0fd4b37480d6', '48b0ef782564d5d5901499efb4177963118ef52aeb1be0329be829a091a759ed']",['c5b3b0c05b26696e5128155633607aa1fe6086dd7a6f23a9c9438091999964fe']
Qual è il modo per rendere visibile il cursore opacità in QGIS?,0.0,0.0,0.0,0.21704936027526855,2,"['bbf84ada9fffbb2cc1acaa8657bca1fd30dfe4c886cddc728d9574a7ae3784bc', '7d8672af75c7833f9292e603986cf94701293284a868919bfb2ab5596bd1feac', '19f6782c8fc0bab32e14859cd9b2475f4b6fa5dd6d225c8bdc94e831114f28fc', '5807ec0ac2a69e2916dc7adf991b73158a219426a9c1d13acad15e82af513c3d', '140c61aae58754eee645950350e6b04392f761ac81a2b91d6cea3fce7e4c8e8a']",['0b62fb449569a290aa38c447267da750a31e6cdb33003269d464602f55791d00']
Quali sono le istruzioni operative per il conferimento al GNA dei dati minimi di tutte le ricerche archeologiche dirette dal Ministero della Cultura?,0.0,0.0,0.0,0.21704936027526855,2,"['ced67145d8601bf0d5645b31ddd028c1ec1e24f9c13ae24196cad0c1bb579729', '6dfd3d094817beece54354290d2fcbf6af142b01ba7bee109fa79efa6a798a49', 'cf0f3b383ad3042540a04a15880ece5ede8464d1e4af1c51944726afed61f555', '8470000082ecb810c2846605e1881295e14fa35a851c324fb220b91130464368', 'f58ee7c5e3e5bee22e42cff29db14d66692fd1d21d10d8540b6218a548af8718']",['b709c5a4b69e2b70e50e49466aecfd8f31e89846a11330259dcfc6cd4ccd111e']
Quali sono i casi d'uso per l'inserimento di MOSI esterni all'area del MOPR?,0.2,1.0,0.3333333333333333,0.21704936027526855,2,"['a6de31068697fb20f6d723a0e1011b57cc173e9c307b74ff78bdc0013d14fec6', '88408de9cd09bd5efbcc475f70849aba0466bc9b33f5f22cc5f515f2e80ca9df', 'd49dc2df94454a9e48570ccd6f957263c397eb5d0ce544ad92952ac2135c9e68', '5c543815f4f8124016028f6832b553dd650eb41cda8722fde2b1eb1aeae1f122', 'bac97336a219d294bb19f5560f84fccd77b8ec0899b1f7967da71aa54f598cc7']",['5c543815f4f8124016028f6832b553dd650eb41cda8722fde2b1eb1aeae1f122']
Qual è la scala preimpostata per stampare la mappa della carta del rischio (VRD)?,0.2,1.0,0.5,0.21704936027526855,2,"['b284de342461cb76b947c39da911bd6037cfaa434093b55a1e9a3d8a08001824', 'f61d946cd18009101b9a2b711849a0a17971295a530e4bfcaff22982158c631a', '493bea5fa0fc2e6be7cf6229bc3fda82bebde6eb09cde63af3e33de03a4cbbfa', '089dac917cd1230c1df70de83879ff02a99f4548c3c6942c4f7f15c166d793b7', '226721f2417a2acc7ffc82e6f90677bc23c27a93f92cef1fde2dc0315ae20d81']",['226721f2417a2acc7ffc82e6f90677bc23c27a93f92cef1fde2dc0315ae20d81']
Quali informazioni sono raccolte nella maschera che si apre dopo il salvataggio della geometria nel Modulo di Progetto (MOPR)?,0.2,1.0,0.3333333333333333,0.21704936027526855,2,"['6bcd387960d4363b5ed74065f4abf219eafcaac191a66675ad58683cd1c9832d', '92c1435c3906dcb0f1c9b486c1b7fd46830ffb89e8a45272a9958c739d38dc1a', 'e468f3c09ae2990d22f0dd850d5e18d3f3ef29fa47bd0032c83e9305a9da05ab', '898b8222924978aa974bcc306e3528b8820e307de51fd6759fa6ee49ce5d5211', '439aa092d1574a29745cbe914d8bb9ddf5f1cfb83a250990ba2333281e11af80']",['898b8222924978aa974bcc306e3528b8820e307de51fd6759fa6ee49ce5d5211']
